loci	length
R014279	488
R014280	531
R014281	273
R014282	520
R014283	706
R014284	521
R014285	437
R014286	539
R014287	524
R014288	267
R014289	543
R014290	564
R014291	89
R014292	201
R014293	680
R014294	641
R014295	348
R014296	101
R014297	374
R014298	422
R014299	473
R014300	595
R014301	552
R014302	530
R014303	128
R014304	495
R014305	106
R014306	333
R014307	332
R014308	455
R014309	320
R014310	562
R014311	476
R014313	268
R014314	467
R014315	325
R014316	468
R014317	572
R014318	585
R014319	817
R014320	327
R014321	449
R014322	501
R014323	383
R014324	431
R014325	246
R014326	544
R014327	531
R014328	496
R014329	487
R014330	504
R014331	533
R014332	541
R014333	256
R014334	510
R014335	526
R014336	529
R014337	641
R014338	217
R014339	475
R014340	454
R014341	372
R014342	368
R014343	548
R014344	454
R014345	477
R014346	517
R014347	508
R014348	397
R014349	395
R014350	452
R014351	630
R014352	363
R014353	565
R014354	567
R014355	599
R014356	389
R014357	450
R014358	640
R014359	390
R014360	177
R014361	671
R014362	282
R014363	517
R014364	570
R014365	468
R014366	385
R014367	576
R014368	540
R014369	634
R014370	329
R014371	467
R014372	643
R014373	626
R014374	581
R014375	389
R014376	342
R014377	460
R014378	453
R014379	421
R014380	522
R014381	453
R014382	166
R014383	552
R014384	482
R014385	367
R014386	186
R014387	368
R014388	532
R014389	525
R014390	620
R014391	429
R014392	424
R014393	504
R014394	569
R014395	606
R014396	497
R014397	684
R014398	602
R014399	537
R014400	624
R014401	451
R014402	600
R014403	452
R014404	516
R014405	383
R014406	600
R014407	418
R014408	394
R014409	443
R014410	561
R014411	641
R014412	502
R014413	418
R014414	623
R014415	589
R014416	395
R014417	518
R014418	357
R014419	395
R014420	273
R014421	224
R014422	591
R014423	576
R014424	425
R014425	394
R014426	496
R014427	556
R014428	428
R014429	562
R014430	362
R014431	575
R014432	504
R014433	422
R014434	506
R014435	390
R014436	554
R014437	574
R014438	295
R014439	576
R014440	390
R014441	601
R014442	578
R014443	572
R014444	405
R014445	602
R014446	148
R014447	538
R014448	578
R014449	409
R014450	667
R014451	505
R014452	689
R014453	329
R014454	393
R014455	631
R014456	462
R014457	547
R014458	307
R014459	531
R014460	505
R014461	637
R014462	580
R014463	520
R014464	89
R014465	211
R014466	441
R014467	145
R014468	345
R014469	533
R014470	585
R014471	539
R014472	634
R014473	423
R014474	429
R014475	464
R014476	456
R014477	413
R014478	349
R014479	377
R014480	229
R014481	426
R014482	132
R014483	679
R014484	509
R014485	310
R014486	554
R014487	571
R014488	517
R014489	375
R014490	265
R014491	343
R014492	444
R014493	448
R014494	118
R014495	540
R014496	638
R014497	372
R014498	502
R014499	479
R014500	569
R014501	612
R014502	408
R014503	516
R014504	366
R014505	401
R014506	230
R014507	661
R014508	535
R014509	418
R014511	615
R014512	629
R014513	395
R014514	341
R014515	285
R014516	533
R014517	577
R014518	502
R014519	378
R014521	479
R014522	695
R014523	367
R014524	502
R014525	564
R014526	520
R014527	268
R014528	444
R014529	431
R014530	423
R014531	531
R014532	455
R014533	624
R014534	457
R014535	492
R014536	351
R014537	405
R014538	442
R014539	602
R014540	438
R014541	343
R014542	452
R014543	106
R014544	548
R014545	135
R014546	562
R014547	141
R014548	392
R014549	414
R014550	448
R014551	208
R014552	548
R014553	546
R014554	540
R014555	706
R014556	521
R014557	557
R014558	412
R014559	356
R014560	392
R014561	677
R014562	641
R014563	562
R014564	410
R014565	541
R014566	584
R014567	364
R014568	534
R014569	698
R014570	419
R014571	426
R014572	402
R014573	523
R014574	277
R014575	531
R014576	369
R014577	553
R014578	472
R014579	353
R014580	163
R014581	385
R014582	689
R014583	678
R014584	354
R014585	480
R014586	546
R014587	613
R014588	463
R014589	560
R014590	449
R014591	461
R014592	648
R014593	609
R014594	368
R014595	551
R014596	526
R014597	553
R014598	593
R014599	405
R014600	420
R014601	428
R014602	410
R014603	457
R014604	594
R014605	515
R014606	394
R014607	364
R014608	629
R014609	648
R014610	458
R014611	509
R014612	337
R014613	155
R014614	618
R014615	578
R014616	639
R014617	410
R014618	514
R014619	309
R014620	147
R014621	652
R014622	483
R014623	506
R014624	384
R014625	543
R014626	483
R014627	465
R014628	655
R014629	622
R014630	661
R014631	513
R014632	531
R014633	316
R014634	618
R014635	535
R014636	457
R014637	265
R014638	105
R014639	451
R014640	664
R014641	300
R014642	481
R014643	447
R014644	514
R014645	578
R014646	512
R014647	314
R014648	635
R014649	598
R014650	573
R014651	339
R014652	579
R014653	185
R014654	592
R014655	424
R014656	612
R014657	269
R014658	587
R014659	418
R014660	557
R014661	539
R014662	153
R014663	298
R014664	593
R014665	494
R014666	651
R014667	456
R014668	525
R014669	624
R014670	584
R014671	688
R014672	422
R014673	502
R014674	338
R014675	406
R014676	444
R014677	767
R014678	391
R014679	542
R014680	223
R014681	599
R014682	186
R014683	348
R014684	486
R014685	498
R014686	603
R014687	747
R014688	447
R014689	439
R014690	528
R014691	89
R014692	457
R014693	498
R014694	516
R014695	487
R014696	478
R014697	351
R014698	567
R014699	557
R014700	614
R014701	343
R014702	304
R014703	529
R014704	538
R014705	365
R014706	662
R014707	286
R014708	453
R014709	574
R014710	496
R014711	609
R014712	322
R014713	461
R014714	545
R014715	438
R014716	457
R014717	362
R014718	419
R014719	410
R014720	136
R014721	670
R014722	636
R014723	564
R014724	727
R014725	659
R014726	481
R014727	643
R014728	279
R014729	284
R014730	486
R014731	485
R014732	482
R014733	527
R014734	464
R014735	159
R014736	536
R014737	547
R014738	158
R014739	485
R014740	501
R014741	574
R014742	512
R014743	462
R014744	275
R014746	472
R014747	516
R014748	574
R014749	520
R014750	669
R014751	489
R014752	480
R014753	440
R014754	525
R014755	693
R014756	139
R014757	623
R014758	513
R014759	394
R014760	271
R014761	610
R014762	482
R014763	553
R014764	582
R014765	592
R014766	454
R014767	462
R014768	528
R014769	647
R014770	647
R014771	475
R014772	499
R014773	393
R014774	520
R014775	591
R014776	522
R014777	587
R014778	677
R014779	452
R014780	484
R014781	633
R014782	465
R014783	349
R014784	441
R014785	505
R014786	516
R014787	113
R014788	652
R014789	268
R014790	288
R014791	549
R014792	555
R014793	618
R014794	428
R014795	197
R014796	607
R014797	420
R014798	184
R014799	575
R014800	427
R014801	631
R014802	315
R014803	643
R014804	500
R014805	643
R014806	418
R014807	531
R014808	562
R014809	620
R014810	647
R014811	518
R014812	497
R014813	564
R014814	663
R014815	261
R014816	448
R014817	557
R014818	485
R014819	193
R014820	501
R014821	305
R014822	549
R014823	535
R014824	439
R014825	525
R014826	369
R014828	523
R014829	504
R014830	349
R014831	599
R014832	496
R014833	576
R014834	448
R014835	585
R014836	642
R014837	496
R014838	609
R014839	136
R014840	384
R014841	539
R014842	500
R014843	471
R014844	548
R014845	274
R014846	257
R014847	409
R014848	669
R014849	545
R014850	473
R014851	433
R014852	583
R014853	398
R014854	335
R014855	569
R014856	370
R014857	512
R014858	503
R014859	403
R014860	604
R014861	89
R014862	563
R014863	622
R014864	293
R014865	485
R014866	589
R014867	427
R014868	562
R014869	505
R014870	493
R014871	421
R014872	541
R014873	504
R014874	404
R014875	358
R014876	550
R014877	557
R014878	553
R014879	427
R014880	89
R014881	529
R014882	213
R014883	433
R014884	516
R014885	582
R014886	476
R014887	505
R014888	518
R014889	497
R014890	475
R014891	276
R014892	391
R014893	491
R014894	453
R014895	517
R014896	683
R014897	369
R014898	702
R014899	539
R014900	469
R014901	481
R014902	341
R014903	485
R014904	226
R014905	410
R014906	650
R014907	262
R014908	539
R014909	477
R014910	463
R014911	352
R014912	543
R014913	152
R014914	231
R014915	606
R014916	375
R014917	601
R014918	468
R014919	446
R014920	269
R014921	380
R014922	399
R014923	384
R014924	116
R014925	558
R014926	611
R014927	475
R014928	610
R014929	451
R014930	648
R014931	445
R014932	423
R014933	201
R014934	480
R014935	288
R014936	504
R014937	453
R014938	517
R014939	530
R014940	478
R014941	544
R014942	427
R014943	416
R014944	500
R014945	672
R014946	733
R014947	396
R014948	257
R014949	328
R014950	457
R014951	195
R014952	529
R014953	281
R014954	493
R014955	525
R014956	341
R014957	429
R014958	510
R014959	506
R014960	433
R014961	471
R014962	681
R014963	287
R014964	576
R014965	327
R014966	608
R014967	496
R014968	403
R014969	341
R014970	210
R014971	388
R014972	408
R014973	231
R014974	493
R014975	432
R014976	475
R014977	496
R014978	500
R014979	217
R014980	421
R014981	406
R014982	235
R014983	660
R014984	427
R014985	662
R014986	576
R014987	289
R014988	597
R014989	471
R014990	468
R014991	509
R014992	478
R014993	465
R014994	581
R014995	419
R014996	377
R014997	558
R014998	693
R014999	586
R015000	450
R015001	549
R015002	379
R015003	530
R015004	487
R015005	476
R015006	433
R015007	444
R015008	89
R015009	243
R015010	546
R015011	630
R015012	513
R015013	334
R015014	341
R015015	689
R015016	469
R015017	459
R015018	89
R015019	519
R015020	482
R015021	571
R015022	392
R015023	509
R015024	599
R015025	426
R015026	569
R015028	499
R015029	306
R015030	416
R015031	474
R015032	545
R015033	490
R015034	677
R015035	683
R015036	328
R015037	224
R015038	598
R015039	568
R015040	480
R015041	557
R015042	586
R015043	372
R015044	472
R015045	579
R015046	528
R015047	457
R015048	480
R015049	420
R015050	372
R015051	442
R015052	468
R015053	505
R015054	430
R015055	670
R015056	89
R015057	474
R015058	553
R015059	606
R015060	572
R015061	406
R015062	154
R015063	557
R015064	386
R015065	279
R015066	437
R015067	424
R015068	513
R015069	622
R015070	435
R015071	419
R015072	680
R015073	494
R015074	466
R015075	468
R015076	493
R015077	463
R015078	505
R015079	538
R015080	652
R015081	250
R015082	455
R015083	536
R015084	567
R015085	532
R015086	646
R015087	483
R015088	661
R015089	494
R015090	594
R015091	632
R015092	715
R015093	378
R015094	559
R015095	542
R015096	499
R015097	452
R015098	372
R015099	458
R015100	231
R015101	347
R015102	349
R015103	509
R015104	403
R015105	383
R015106	392
R015107	463
R015108	365
R015109	378
R015110	488
R015111	96
R015112	300
R015113	555
R015114	412
R015115	521
R015116	477
R015117	643
R015118	579
R015119	474
R015120	577
R015121	479
R015122	498
R015123	408
R015124	415
R015125	562
R015126	380
R015127	461
R015128	548
R015129	502
R015130	583
R015131	585
R015132	447
R015133	490
R015134	667
R015135	370
R015136	643
R015137	554
R015138	415
R015139	456
R015140	178
R015141	337
R015142	292
R015143	637
R015144	564
R015145	300
R015146	587
R015147	536
R015148	469
R015149	471
R015150	514
R015151	574
R015152	591
R015153	745
R015154	417
R015155	670
R015156	469
R015157	177
R015158	473
R015159	645
R015160	420
R015161	547
R015162	595
R015163	478
R015164	537
R015165	273
R015166	556
R015167	242
R015168	549
R015169	495
R015170	487
R015171	205
R015172	603
R015173	561
R015174	514
R015175	470
R015176	654
R015177	407
R015178	600
R015179	575
R015180	355
R015181	475
R015182	469
R015183	668
R015184	512
R015185	380
R015186	403
R015187	546
R015188	692
R015189	483
R015190	437
R015191	538
R015192	468
R015193	623
R015194	529
R015195	559
R015196	646
R015197	377
R015198	493
R015199	506
R015200	542
R015201	176
R015202	557
R015203	567
R015204	225
R015205	639
R015206	338
R015207	428
R015208	556
R015209	518
R015210	385
R015211	395
R015212	534
R015213	525
R015214	358
R015215	459
R015216	618
R015217	693
R015218	580
R015219	511
R015220	475
R015221	298
R015222	501
R015223	292
R015224	675
R015225	545
R015226	561
R015227	421
R015228	387
R015229	531
R015230	497
R015231	387
R015232	530
R015233	470
R015234	89
R015235	505
R015236	538
R015237	535
R015238	525
R015239	648
R015240	489
R015241	436
R015242	220
R015243	469
R015244	554
R015245	440
R015246	443
R015247	392
R015248	606
R015249	194
R015250	619
R015251	399
R015252	502
R015253	444
R015254	288
R015255	570
R015256	541
R015257	290
R015258	383
R015259	504
R015260	476
R015261	689
R015262	455
R015263	456
R015264	490
R015265	535
R015266	373
R015267	538
R015268	476
R015269	439
R015270	502
R015271	410
R015272	437
R015273	603
R015274	476
R015275	564
R015276	461
R015277	214
R015278	491
R015279	348
R015280	483
R015281	596
R015282	391
R015283	707
R015284	644
R015285	703
R015286	394
R015287	511
R015288	512
R015289	388
R015290	424
R015291	433
R015292	668
R015293	429
R015294	510
R015295	362
R015296	534
R015297	626
R015298	580
R015299	586
R015300	628
R015301	529
R015302	466
R015303	591
R015304	513
R015305	329
R015306	690
R015307	488
R015308	516
R015309	627
R015310	407
R015311	484
R015312	566
R015313	661
R015314	142
R015315	579
R015316	556
R015317	370
R015318	526
R015319	475
R015320	505
R015321	437
R015322	348
R015323	551
R015324	494
R015325	582
R015326	509
R015327	519
R015328	614
R015329	324
R015330	515
R015331	370
R015332	562
R015333	363
R015334	448
R015335	390
R015336	450
R015337	486
R015338	356
R015339	447
R015340	423
R015341	515
R015342	544
R015343	508
R015344	549
R015345	572
R015346	390
R015347	526
R015348	390
R015349	348
R015350	327
R015351	497
R015352	457
R015353	349
R015354	608
R015355	445
R015356	583
R015357	521
R015358	89
R015359	445
R015360	600
R015361	550
R015362	572
R015363	539
R015364	300
R015365	551
R015366	525
R015367	217
R015368	553
R015369	487
R015370	350
R015371	506
R015372	244
R015373	360
R015374	256
R015375	352
R015376	639
R015377	611
R015378	518
R015379	458
R015380	523
R015381	479
R015382	473
R015383	404
R015384	365
R015385	173
R015386	636
R015387	396
R015388	525
R015389	464
R015390	412
R015391	552
R015392	552
R015393	599
R015394	422
R015395	409
R015396	496
R015397	475
R015398	558
R015399	567
R015400	444
R015401	527
R015402	560
R015403	89
R015404	431
R015405	658
R015406	378
R015407	580
R015408	297
R015409	279
R015410	655
R015411	461
R015412	521
R015413	540
R015414	550
R015415	402
R015416	635
R015417	493
R015418	558
R015419	391
R015420	575
R015421	285
R015422	276
R015423	470
R015424	511
R015425	468
R015426	319
R015427	501
R015428	446
R015429	356
R015430	526
R015431	484
R015432	501
R015433	551
R015434	643
R015435	207
R015436	594
R015437	544
R015438	529
R015439	519
R015440	628
R015441	371
R015442	486
R015443	577
R015444	376
R015445	430
R015446	635
R015447	616
R015448	481
R015449	497
R015450	528
R015451	429
R015452	515
R015453	458
R015454	353
R015455	294
R015456	588
R015457	426
R015458	332
R015459	412
R015460	658
R015461	569
R015462	647
R015463	510
R015464	564
R015465	507
R015466	504
R015467	342
R015468	233
R015469	496
R015470	572
R015471	484
R015472	612
R015473	510
R015474	105
R015475	292
R015476	621
R015477	403
R015478	495
R015479	342
R015480	524
R015481	369
R015482	352
R015483	652
R015484	688
R015485	471
R015486	550
R015487	583
R015488	575
R015489	236
R015490	520
R015491	556
R015492	452
R015493	531
R015494	533
R015495	503
R015496	478
R015497	391
R015498	409
R015499	559
R015500	297
R015501	556
R015502	508
R015503	524
R015504	437
R015505	604
R015506	571
R015507	520
R015508	577
R015509	534
R015510	366
R015511	606
R015512	488
R015513	646
R015514	410
R015515	597
R015516	501
R015517	475
R015518	450
R015519	501
R015520	573
R015521	452
R015522	572
R015523	377
R015524	432
R015525	486
R015526	321
R015527	532
R015528	458
R015529	518
R015530	627
R015531	273
R015532	115
R015533	660
R015534	627
R015535	268
R015536	116
R015537	514
R015538	603
R015539	426
R015540	532
R015541	477
R015542	502
R015543	413
R015544	443
R015545	524
R015546	444
R015547	606
R015548	553
R015549	361
R015550	490
R015551	590
R015552	617
R015553	538
R015554	586
R015555	310
R015556	561
R015557	511
R015558	642
R015559	335
R015560	358
R015561	476
R015562	439
R015563	586
R015564	153
R015565	612
R015566	516
R015567	246
R015568	167
R015569	449
R015570	156
R015571	420
R015572	467
R015573	435
R015574	657
R015575	554
R015576	386
R015577	548
R015578	493
R015579	627
R015580	343
R015581	506
R015582	503
R015583	537
R015584	558
R015585	427
R015586	506
R015587	480
R015588	463
R015589	519
R015590	118
R015591	89
R015592	508
R015593	407
R015594	481
R015595	393
R015596	507
R015597	560
R015598	486
R015599	217
R015600	612
R015601	551
R015602	446
R015603	407
R015604	510
R015605	434
R015606	182
R015607	487
R015608	243
R015609	457
R015610	505
R015611	630
R015612	478
R015613	528
R015614	581
R015615	694
R015616	352
R015617	100
R015618	509
R015619	512
R015620	382
R015621	418
R015622	459
R015623	374
R015624	474
R015625	448
R015626	706
R015627	490
R015629	454
R015630	412
R015631	631
R015632	574
R015633	143
R015634	424
R015635	347
R015636	652
R015637	332
R015638	646
R015639	435
R015640	788
R015641	554
R015642	526
R015643	532
R015644	596
R015645	479
R015646	602
R015647	501
R015648	116
R015649	516
R015650	583
R015651	645
R015652	334
R015653	642
R015654	454
R015655	605
R015656	601
R015657	422
R015658	646
R015659	495
R015660	678
R015661	468
R015662	598
R015663	625
R015664	702
R015665	385
R015666	642
R015667	547
R015668	558
R015669	556
R015670	388
R015671	472
R015672	110
R015673	604
R015674	409
R015675	477
R015676	104
R015677	530
R015678	556
R015679	491
R015680	570
R015681	453
R015682	681
R015683	570
R015684	556
R015685	534
R015687	467
R015688	456
R015689	518
R015690	178
R015691	540
R015692	409
R015693	579
R015694	520
R015695	352
R015696	159
R015697	485
R015698	525
R015699	434
R015700	641
R015701	523
R015702	615
R015703	545
R015704	555
R015705	470
R015706	455
R015707	717
R015708	421
R015709	465
R015710	402
R015711	590
R015712	492
R015713	455
R015714	517
R015715	721
R015716	472
R015717	579
R015718	482
R015719	260
R015720	454
R015721	655
R015722	379
R015723	452
R015724	474
R015725	418
R015726	576
R015727	582
R015728	472
R015729	316
R015730	622
R015731	344
R015732	506
R015733	669
R015734	603
R015735	160
R015736	346
R015737	386
R015738	567
R015739	314
R015740	563
R015741	363
R015742	481
R015743	473
R015744	482
R015745	699
R015746	363
R015747	311
R015748	514
R015749	547
R015750	651
R015751	336
R015752	540
R015753	289
R015754	582
R015755	341
R015756	381
R015757	482
R015758	252
R015759	423
R015760	579
R015761	314
R015762	447
R015763	332
R015764	464
R015765	475
R015766	519
R015767	269
R015768	577
R015769	629
R015770	565
R015771	482
R015772	345
R015773	310
R015774	626
R015775	263
R015776	178
R015777	555
R015778	390
R015779	540
R015780	526
R015781	585
R015782	476
R015783	485
R015784	616
R015785	562
R015786	759
R015787	488
R015788	504
R015789	618
R015790	285
R015791	632
R015792	527
R015793	501
R015794	643
R015795	519
R015796	661
R015797	244
R015798	471
R015799	332
R015800	312
R015801	547
R015802	453
R015803	697
R015804	509
R015805	544
R015806	516
R015807	598
R015808	465
R015809	359
R015810	505
R015811	545
R015812	555
R015813	615
R015814	628
R015815	291
R015816	534
R015817	560
R015818	528
R015819	559
R015821	517
R015822	570
R015823	491
R015824	425
R015825	146
R015826	507
R015827	438
R015828	607
R015829	487
R015830	468
R015831	483
R015832	249
R015833	528
R015834	639
R015835	598
R015836	384
R015837	632
R015838	658
R015839	437
R015840	609
R015841	533
R015842	489
R015843	553
R015844	473
R015845	477
R015846	505
R015847	572
R015848	177
R015849	545
R015850	700
R015851	614
R015852	556
R015853	504
R015854	542
R015855	398
R015856	562
R015857	549
R015858	637
R015859	447
R015860	317
R015861	532
R015862	543
R015863	238
R015864	607
R015865	176
R015866	505
R015867	604
R015868	585
R015869	584
R015870	294
R015871	388
R015872	530
R015873	490
R015874	630
R015875	565
R015876	446
R015877	191
R015878	515
R015879	517
R015880	448
R015881	506
R015882	504
R015883	300
R015884	481
R015885	446
R015886	742
R015887	283
R015888	112
R015889	157
R015890	522
R015891	408
R015892	523
R015893	301
R015894	372
R015895	540
R015896	630
R015897	346
R015898	499
R015899	544
R015900	330
R015901	556
R015902	479
R015903	417
R015904	638
R015905	586
R015906	280
R015907	89
R015908	609
R015909	384
R015910	483
R015911	348
R015912	667
R015913	191
R015914	307
R015915	503
R015916	379
R015917	558
R015918	631
R015919	618
R015920	445
R015921	432
R015922	508
R015923	445
R015924	625
R015925	420
R015926	491
R015927	378
R015928	526
R015929	560
R015930	764
R015931	504
R015932	553
R015933	577
R015934	439
R015935	657
R015936	487
R015937	443
R015938	469
R015939	405
R015940	405
R015941	255
R015942	201
R015943	412
R015944	606
R015945	665
R015946	387
R015947	554
R015948	435
R015949	592
R015951	442
R015952	506
R015953	546
R015954	340
R015955	454
R015956	476
R015957	493
R015958	474
R015959	558
R015960	629
R015961	477
R015962	314
R015963	334
R015964	514
R015965	606
R015966	294
R015967	600
R015968	566
R015969	582
R015970	593
R015971	617
R015972	517
R015973	466
R015974	767
R015975	543
R015976	589
R015977	566
R015978	453
R015979	417
R015980	339
R015981	477
R015982	562
R015983	377
R015984	376
R015985	556
R015986	469
R015987	534
R015988	614
R015989	493
R015990	537
R015991	492
R015992	706
R015993	535
R015994	323
R015995	583
R015996	647
R015997	639
R015998	473
R015999	101
R016000	347
R016001	354
R016002	675
R016003	625
R016004	501
R016005	363
R016006	430
R016007	464
R016008	356
R016009	565
R016010	516
R016011	621
R016012	404
R016013	119
R016014	547
R016015	462
R016016	552
R016017	136
R016018	476
R016019	161
R016020	584
R016021	517
R016022	540
R016023	503
R016024	527
R016025	464
R016026	627
R016027	418
R016028	565
R016029	550
R016030	387
R016031	514
R016032	612
R016033	499
R016034	500
R016035	432
R016036	170
R016037	512
R016038	473
R016039	364
R016040	603
R016041	356
R016042	629
R016043	413
R016044	516
R016045	506
R016046	126
R016047	438
R016048	621
R016049	617
R016050	306
R016051	563
R016052	211
R016053	601
R016054	390
R016055	470
R016056	183
R016057	508
R016058	419
R016059	684
R016060	437
R016061	265
R016062	417
R016063	648
R016064	398
R016065	346
R016066	254
R016067	513
R016068	535
R016069	579
R016070	442
R016071	405
R016072	534
R016073	321
R016074	659
R016075	567
R016076	564
R016077	583
R016078	246
R016079	518
R016080	594
R016081	379
R016082	110
R016083	542
R016084	330
R016085	242
R016086	109
R016087	430
R016088	611
R016089	435
R016090	201
R016091	437
R016092	662
R016093	499
R016094	554
R016095	324
R016096	417
R016097	236
R016098	535
R016099	631
R016100	398
R016101	512
R016102	593
R016103	598
R016104	411
R016105	440
R016106	393
R016107	458
R016108	157
R016109	175
R016110	565
R016111	429
R016112	501
R016113	492
R016114	458
R016115	502
R016116	260
R016117	474
R016118	537
R016119	505
R016120	598
R016121	532
R016122	457
R016123	112
R016124	549
R016125	499
R016126	405
R016127	492
R016128	534
R016129	645
R016130	596
R016131	557
R016132	441
R016133	275
R016134	533
R016135	521
R016136	516
R016137	390
R016138	671
R016139	611
R016140	373
R016141	603
R016142	614
R016143	506
R016144	582
R016145	636
R016146	562
R016147	293
R016148	533
R016149	486
R016150	238
R016151	539
R016152	466
R016153	540
R016154	494
R016155	662
R016156	468
R016157	654
R016158	160
R016159	481
R016160	330
R016161	606
R016162	536
R016163	498
R016164	493
R016165	541
R016166	610
R016167	362
R016168	406
R016169	336
R016170	89
R016171	560
R016172	470
R016173	572
R016174	499
R016175	512
R016176	609
R016177	97
R016178	551
R016179	531
R016180	500
R016181	444
R016182	639
R016183	470
R016184	538
R016185	414
R016186	563
R016187	368
R016188	571
R016189	542
R016190	470
R016191	437
R016192	545
R016193	588
R016194	467
R016195	566
R016196	542
R016197	497
R016198	467
R016199	250
R016200	524
R016201	481
R016202	434
R016203	569
R016204	565
R016205	365
R016206	361
R016207	589
R016208	564
R016209	596
R016210	534
R016211	262
R016212	440
R016213	493
R016214	441
R016215	580
R016216	496
R016217	519
R016218	517
R016219	305
R016220	326
R016221	257
R016222	394
R016223	470
R016224	608
R016225	193
R016226	359
R016227	596
R016228	481
R016229	390
R016230	403
R016231	562
R016232	547
R016233	459
R016234	590
R016235	517
R016236	538
R016237	478
R016238	634
R016239	423
R016240	613
R016241	506
R016242	471
R016243	422
R016244	516
R016245	649
R016246	456
R016247	351
R016248	425
R016249	361
R016250	583
R016251	171
R016252	404
R016253	336
R016254	231
R016255	291
R016256	475
R016257	507
R016258	437
R016259	639
R016260	303
R016261	430
R016262	372
R016263	507
R016264	554
R016265	594
R016266	571
R016267	414
R016268	179
R016269	194
R016270	533
R016271	622
R016272	490
R016273	544
R016274	479
R016275	564
R016276	398
R016277	478
R016278	530
R016279	430
R016280	670
R016281	551
R016282	413
R016283	389
R016284	424
R016285	544
R016286	411
R016287	633
R016288	664
R016289	398
R016290	624
R016291	501
R016292	416
R016293	535
R016294	421
R016295	417
R016296	556
R016297	284
R016298	474
R016299	572
R016300	609
R016301	335
R016302	505
R016303	593
R016304	595
R016305	603
R016306	232
R016307	356
R016308	588
R016309	532
R016310	393
R016311	494
R016312	565
R016313	554
R016314	326
R016315	527
R016316	442
R016317	492
R016318	461
R016319	532
R016320	387
R016321	574
R016322	439
R016323	723
R016324	408
R016325	454
R016326	413
R016328	489
R016329	608
R016330	178
R016331	636
R016332	438
R016333	269
R016334	256
R016335	592
R016336	363
R016337	419
R016339	521
R016340	383
R016341	269
R016342	696
R016343	477
R016344	230
R016345	401
R016346	642
R016347	332
R016349	375
R016350	400
R016351	556
R016352	606
R016353	569
R016354	108
R016355	497
R016356	148
R016357	457
R016358	650
R016359	184
R016360	89
R016361	330
R016362	466
R016363	370
R016364	607
R016365	532
R016366	484
R016367	579
R016368	204
R016369	388
R016370	484
R016371	404
R016372	281
R016373	550
R016374	501
R016375	592
R016376	439
R016377	126
R016378	393
R016379	413
R016380	604
R016381	476
R016382	483
R016383	443
R016384	171
R016385	412
R016386	576
R016387	722
R016388	508
R016389	491
R016390	147
R016391	384
R016392	361
R016393	529
R016394	358
R016395	484
R016396	500
R016397	540
R016398	229
R016399	579
R016400	348
R016401	346
R016402	570
R016403	562
R016404	429
R016405	446
R016406	628
R016407	181
R016408	404
R016409	417
R016410	494
R016411	472
R016412	195
R016413	220
R016414	551
R016415	612
R016416	343
R016417	415
R016418	81
R016419	630
R016420	320
R016421	495
R016422	643
R016423	343
R016424	529
R016425	532
R016426	448
R016427	500
R016428	387
R016429	461
R016430	228
R016431	533
R016432	548
R016433	407
R016434	309
R016435	475
R016436	241
R016437	658
R016439	519
R016440	517
R016441	441
R016442	435
R016443	591
R016444	446
R016445	283
R016446	518
R016447	440
R016448	357
R016449	493
R016450	511
R016451	433
R016452	355
R016453	496
R016454	421
R016455	442
R016456	502
R016457	497
R016458	535
R016459	494
R016460	494
R016461	625
R016462	657
R016463	454
R016464	453
R016465	489
R016466	483
R016467	512
R016468	419
R016469	541
R016470	626
R016471	544
R016472	479
R016473	422
R016474	532
R016475	351
R016476	478
R016477	564
R016478	492
R016479	577
R016480	321
R016481	424
R016482	514
R016483	318
R016484	613
R016485	479
R016486	489
R016487	463
R016488	649
R016489	494
R016490	541
R016491	248
R016492	480
R016493	559
R016494	477
R016495	575
R016496	410
R016497	354
R016498	489
R016499	595
R016500	497
R016501	460
R016502	663
R016503	659
R016504	427
R016505	447
R016506	411
R016508	715
R016509	662
R016510	579
R016511	469
R016512	467
R016513	279
R016514	479
R016515	350
R016516	532
R016517	394
R016518	547
R016519	175
R016520	413
R016521	446
R016522	574
R016523	607
R016524	603
R016525	180
R016526	231
R016527	510
R016528	571
R016529	520
R016530	522
R016531	588
R016532	711
R016533	446
R016534	547
R016535	535
R016536	161
R016537	549
R016538	265
R016539	415
R016540	480
R016541	520
R016542	122
R016543	335
R016544	492
R016545	537
R016546	353
R016547	599
R016548	89
R016549	358
R016550	416
R016551	632
R016552	400
R016553	221
R016555	465
R016556	380
R016557	476
R016558	562
R016559	463
R016560	304
R016561	353
R016562	673
R016563	167
R016564	566
R016565	507
R016566	609
R016567	592
R016568	479
R016569	614
R016570	440
R016571	274
R016572	554
R016573	487
R016574	549
R016575	520
R016576	436
R016577	539
R016578	361
R016579	639
R016580	294
R016581	362
R016582	343
R016583	605
R016584	463
R016585	488
R016586	561
R016587	414
R016588	570
R016589	519
R016590	100
R016591	753
R016592	558
R016593	430
R016594	567
R016595	621
R016596	431
R016597	603
R016598	501
R016599	175
R016600	511
R016601	531
R016602	609
R016603	517
R016604	313
R016605	408
R016606	334
R016607	531
R016608	572
R016609	545
R016610	503
R016611	427
R016612	458
R016613	321
R016614	602
R016615	471
R016616	565
R016617	327
R016618	645
R016619	137
R016620	339
R016621	581
R016622	507
R016623	519
R016624	412
R016625	120
R016626	414
